creneau;ext1;ext2;ext3;ext4;
09:20;gimo - last (u11f_c);aut2 - tou2 (u11m_b);aut1 - bru1 (u11m_a);aut3 - cug3 (u11m_c);
;;;;;
;;;;;
;;;;;
09:40;auc1 - cug1 (u11f_a);ast1 - net1 (u11f_a);cug1 - tou1 (u11m_a);cass - lab2 (u11m_d);
;;;;;
;;;;;
;;;;;
10:00;last - net3 (u11f_c);stj2 - tou2 (u11m_b);aut3 - lab1 (u11m_c);cug3 - lav1 (u11m_c);
;;;;;
;;;;;
;;;;;
10:20;cug1 - net1 (u11f_a);ast2 - auc2 (u11f_b);fro2 - lab2 (u11m_d);lav2 - vill (u11m_d);
;;;;;
;;;;;
;;;;;
10:40;ast1 - auc1 (u11f_a);frou - net3 (u11f_c);cug3 - fro1 (u11m_c);bru2 - tou2 (u11m_b);
;;;;;
;;;;;
;;;;;
11:00;cug1 - tou1 (u11f_a);auc2 - tou2 (u11f_b);fro2 - vill (u11m_d);cass - lav2 (u11m_d);
;;;;;
;;;;;
;;;;;
11:20;auc1 - net1 (u11f_a);frou - last (u11f_c);fro1 - lav1 (u11m_c);cug2 - stj2 (u11m_b);
;;;;;
;;;;;
;;;;;
11:40;gimo - net3 (u11f_c);ast2 - tou2 (u11f_b);bru1 - stj1 (u11m_a);aut1 - tou1 (u11m_a);
;;;;;
;;;;;
;;;;;
12:00;brug - frou (u11f_c);aut2 - bru2 (u11m_b);cass - fro2 (u11m_d);lab2 - lav2 (u11m_d);
;;;;;
;;;;;
;;;;;
12:20;cug1 - stj1 (u11m_a);bru2 - stj2 (u11m_b);bru1 - tou1 (u11m_a);cug2 - tou2 (u11m_b);
;;;;;
;;;;;
;;;;;
12:40;ast1 - cug1 (u11f_a);fro2 - lav2 (u11m_d);lab1 - lav1 (u11m_c);aut3 - fro1 (u11m_c);
;;;;;
;;;;;
;;;;;
13:00;ast2 - cug2 (u11f_b);net2 - tou2 (u11f_b);-;-;
;;;;;
;;;;;
;;;;;
13:20;ast1 - tou1 (u11f_a);frou - gimo (u11f_c);aut3 - lav1 (u11m_c);brug - net3 (u11f_c);
;;;;;
;;;;;
;;;;;
13:40;cug2 - net2 (u11f_b);stj1 - tou1 (u11m_a);fro1 - lab1 (u11m_c);bru1 - cug1 (u11m_a);
;;;;;
;;;;;
;;;;;
14:00;net1 - tou1 (u11f_a);brug - last (u11f_c);lab2 - vill (u11m_d);bru2 - cug2 (u11m_b);
;;;;;
;;;;;
;;;;;
14:20;auc2 - net2 (u11f_b);cug2 - tou2 (u11f_b);aut1 - stj1 (u11m_a);aut2 - stj2 (u11m_b);
;;;;;
;;;;;
;;;;;
14:40;auc1 - tou1 (u11f_a);brug - gimo (u11f_c);cug3 - lab1 (u11m_c);cass - vill (u11m_d);
;;;;;
;;;;;
;;;;;
15:00;auc2 - cug2 (u11f_b);ast2 - net2 (u11f_b);aut1 - cug1 (u11m_a);aut2 - cug2 (u11m_b);
;;;;;
;;;;;
;;;;;
