creneau;b1;b2;b3;r1;r2;r3;
09:40;cug3 - net1 (u9_a);cug1 - lab1 (u9_a);cas2 - vil2 (u9_b);lab1 - net1 (u7);ast2 - cug2 (u7);stj2 - tou2 (u9_b);
10:00;cas1 - vil1 (u9_a);stj1 - tou1 (u9_a);cug2 - lab2 (u9_b);cug1 - net1 (u7);ast1 - gim (u7);net2 - vil3 (u9_b);
10:20;cas2 - tou2 (u9_b);lab2 - stj2 (u9_b);cug2 - vil2 (u9_b);lab1 - net2 (u7);ast2 - lab2 (u7);cug2 - net1 (u7);
10:40;cas1 - lab1 (u9_a);stj2 - vil2 (u9_b);cug1 - stj1 (u9_a);gim - net2 (u7);cug3 - vil1 (u9_a);net1 - tou1 (u9_a);
11:00;cug2 - stj2 (u9_b);tou2 - vil3 (u9_b);lab2 - net2 (u9_b);ast1 - net1 (u7);cug1 - net2 (u7);gim - lab2 (u7);
11:20;cug3 - tou1 (u9_a);lab1 - stj1 (u9_a);cas2 - lab2 (u9_b);cas1 - net1 (u9_a);tou2 - vil2 (u9_b);cug1 - vil1 (u9_a);
11:40;cug2 - tou2 (u9_b);cas2 - stj2 (u9_b);net2 - vil2 (u9_b);ast2 - net2 (u7);cug1 - lab2 (u7);cug2 - gim (u7);
12:00;cas1 - tou1 (u9_a);cug1 - net1 (u9_a);stj1 - vil1 (u9_a);cug2 - lab1 (u7);ast2 - net1 (u7);cug3 - lab1 (u9_a);
13:20;cas2 - vil3 (u9_b);lab2 - vil2 (u9_b);cug2 - net2 (u9_b);ast1 - cug1 (u7);lab2 - net2 (u7);gim - net1 (u7);
13:40;cas1 - stj1 (u9_a);tou1 - vil1 (u9_a);lab1 - net1 (u9_a);ast1 - lab1 (u7);cug2 - lab2 (u7);-;
14:00;net2 - stj2 (u9_b);cug2 - vil3 (u9_b);cug2 - net2 (u7);ast2 - gim (u7);cug1 - lab1 (u7);ast1 - lab2 (u7);
14:20;net1 - stj1 (u9_a);cas1 - cug3 (u9_a);cug1 - tou1 (u9_a);lab1 - vil1 (u9_a);-;-;
14:40;lab2 - vil3 (u9_b);net2 - tou2 (u9_b);cas2 - cug2 (u9_b);ast2 - cug1 (u7);ast1 - net2 (u7);gim - lab1 (u7);
15:00;lab1 - tou1 (u9_a);net1 - vil1 (u9_a);cug3 - stj1 (u9_a);lab2 - net1 (u7);cas1 - cug1 (u9_a);-;
15:20;stj2 - vil3 (u9_b);cas2 - net2 (u9_b);lab2 - tou2 (u9_b);cug1 - gim (u7);ast1 - cug2 (u7);ast2 - lab1 (u7);
